spot_id,name,state,district,city_town,latitude,longitude,type,official_capacity_daily,opening_hours,entry_fee_inr_indian,entry_fee_inr_foreigner,peak_hours,avg_visit_duration_hrs,nearby_alternative_ids,booking_portal_url,data_source
TS011,Ramanathaswamy Temple,Tamil Nadu,Ramanathapuram,Rameswaram,9.2881,79.3174,Char Dham Island Pilgrimage & Theertham Bathing Complex,50000,"05:00 - 13:00, 15:00 - 21:00 (Mani Darshanam 05:00-06:00)",0,0,"05:00 - 08:30 (22 Theertham snanam), 16:30 - 19:30",3.5,"ALT021,ALT022",https://hrce.tn.gov.in,HR&CE Department Tamil Nadu & District Administration Ramanathapuram
TS012,Shree Somnath Jyotirlinga Temple,Gujarat,Gir Somnath,"Prabhas Patan, Somnath",20.888,70.4013,First Jyotirlinga / Coastal Heritage Pilgrimage,60000,"06:00 - 22:00 (Aarti: 07:00, 12:00, 19:00; Sound & Light Show: 20:00)",0,0,"06:30 - 08:30, 18:30 - 20:30",2.5,"ALT023,ALT024",https://somnath.org,Shree Somnath Trust (SST) & Gujarat Tourism
TS013,Shri Saibaba Sansthan Temple,Maharashtra,Ahmednagar,Shirdi,19.7667,74.4764,Spiritual Shrine & Pilgrimage Complex,80000,"04:00 - 23:00 (Kakad Aarti 04:30, Shej Aarti 22:30)",0,0,"05:00 - 09:00, 17:00 - 21:00",4.0,"ALT025,ALT026",https://online.sai.org.in,Shri Saibaba Sansthan Trust Shirdi (SSST) & Maharashtra Police
TS014,Sabarimala Sree Dharma Sastha Temple,Kerala,Pathanamthitta,"Periyar Tiger Reserve, Sabarimala",9.4402,77.0819,Seasonal Forest Hill Shrine (Mandala-Makaravilakku Season),80000,"03:00 - 13:00, 15:00 - 23:00 (During seasonal pilgrimage windows)",0,0,"03:30 - 07:00 (Neyyabhishekam), 17:00 - 21:00",8.0,"ALT027,ALT028",https://sabarimalaonline.org,Travancore Devaswom Board (TDB) & Kerala Police Virtual Q Cell
TS015,Har Ki Pauri Ghat & Mansa Devi,Uttarakhand,Haridwar,Haridwar,29.9577,78.1724,Sacred Ganga Ghat / Mela Pilgrimage Center,150000,04:00 - 23:00 (Ghats open 24x7; Mansa Devi Ropeway 06:30-18:00),0,0,"05:00 - 08:00, 18:00 - 20:00 (Sandhya Ganga Maha Aarti)",3.0,"ALT029,ALT030",https://haridwar.nic.in,Ganga Sabha Haridwar & Haridwar District Administration
TS016,Triveni Sangam & Kumbh Mela Grounds,Uttar Pradesh,Prayagraj,Prayagraj,25.4283,81.8847,Sacred River Confluence & Mass Congregation Grounds,200000,04:00 - 21:00 (Boating sunrise to sunset),0,0,"05:00 - 09:00 (Snan hours), 16:30 - 18:30 (Sunset boating)",3.5,"ALT031,ALT032",https://prayagraj.nic.in,Prayagraj Mela Pradhikaran & Uttar Pradesh Tourism
TS017,Bankey Bihari Temple & Prem Mandir,Uttar Pradesh,Mathura,Vrindavan,27.5818,77.6974,Braj Heritage & Vaishnavite Cultural Shrine,70000,"07:45 - 12:00, 17:30 - 21:30 (Bankey Bihari timings)",0,0,"08:30 - 11:00, 18:00 - 21:00",3.5,"ALT033,ALT034",https://up-tourism.gov.in,Mathura-Vrindavan Development Authority (MVDA) & Mathura Police
TS018,Taj Mahal Monument Complex,Uttar Pradesh,Agra,Agra,27.1751,78.0421,UNESCO World Heritage Site / Mughal Monument,35000,06:00 - 18:30 (Sunrise to Sunset; Closed on Fridays),50,1100,"06:00 - 08:30 (Sunrise), 15:30 - 18:00 (Sunset)",2.5,"ALT035,ALT036",https://asi.payumoney.com,Archaeological Survey of India (ASI) & Supreme Court Monitoring Committee
TS019,Amber Fort & Palace Complex,Rajasthan,Jaipur,"Amer, Jaipur",26.9855,75.8513,UNESCO World Heritage Hill Fort & Rajput Architecture,25000,08:00 - 17:30 (Night Tourism: 18:30 - 21:15),100,500,"09:30 - 12:30, 15:00 - 17:00",3.0,"ALT037,ALT038",https://bookrajplus.rajasthan.gov.in,"Department of Archaeology and Museums, Government of Rajasthan"
TS020,Qutub Minar & Mehrauli Archaeological Complex,Delhi,South Delhi,"Mehrauli, New Delhi",28.5245,77.1855,UNESCO World Heritage Architectural Monument,22000,07:00 - 21:00 (Illuminated Monument),50,550,"10:00 - 13:00, 16:00 - 18:30",2.0,"ALT039,ALT040",https://asi.payumoney.com,Archaeological Survey of India (ASI) Delhi Circle
TS021,Ajanta and Ellora Rock-Cut Caves,Maharashtra,Chhatrapati Sambhaji Nagar,Aurangabad / Ellora,20.0268,75.178,UNESCO World Heritage Ancient Monolithic Architecture,18000,06:00 - 18:00 (Ajanta closed Mons; Ellora closed Tues),40,600,"09:00 - 12:30, 14:00 - 16:30",5.0,"ALT041,ALT042",https://asi.payumoney.com,Archaeological Survey of India (ASI) Aurangabad Circle & MTDC
TS022,Group of Monuments at Hampi (Virupaksha & Vijaya Vittala),Karnataka,Vijayanagara,"Hampi, Hosapete",15.335,76.46,UNESCO World Heritage Ancient Vijayanagara Capital,20000,06:00 - 18:00 (Sunrise to Sunset),40,600,"07:00 - 10:00, 15:30 - 18:00",6.0,"ALT043,ALT044",https://asi.payumoney.com,Archaeological Survey of India (ASI) Hampi Mini Circle & KSTDC
TS023,Pangong Tso Lake & Hemis Monastery,Ladakh (UT),Leh,Leh / Durbuk,33.7595,78.6674,High-Altitude Himalayan Eco-Tourism & Buddhist Monastic Site,6000,06:00 - 18:00 (Inner Line Permit / LAHDC Pass required),0,0,10:00 - 15:00 (Daylight travel safety window),4.0,"ALT045,ALT046",https://lahdclehpermit.in,Ladakh Autonomous Hill Development Council (LAHDC) & UT Tourism Dept
TS024,Rohtang Pass & Solang Valley Adventure Zone,Himachal Pradesh,Kullu,Manali,32.3716,77.2466,High-Altitude Himalayan Pass & Eco-Adventure Corridor,1200,06:00 - 17:00 (Closed on Tuesdays for maintenance; NGT regulated),550,550,"07:00 - 11:00, 14:00 - 16:00",4.0,"ALT047,ALT048",https://rohtangpermits.nic.in,District Administration Kullu & National Green Tribunal (NGT) Monitoring Cell
TS025,Maa Kamakhya Devalaya,Assam,Kamrup Metropolitan,Guwahati (Nilachal Hill),26.1664,91.7054,Ancient Tantric Shakti Peeth / Hill Shrine,35000,05:30 - 20:00 (Garbhagriha closed 13:00-14:30 for Bhog),0,0,"06:00 - 09:30, 15:00 - 18:30",4.0,"ALT049,ALT050",https://www.maakamakhya.org,Kamakhya Bordeuri Samaj & Assam Tourism Development Corporation
