crowd_record_id,spot_id,spot_name,historical_crowd_level,peak_season_months,peak_dates_and_festivals,avg_queue_time_normal_mins,avg_queue_time_peak_mins,queue_management_system,fast_track_available,fast_track_details_cost,weather_context_and_seasonality,surge_trigger_factors,data_source
CR011,TS011,Ramanathaswamy Temple,High,"October to March, July to August (Aadi Amavasya)","Mahasivaratri, Aadi Amavasya, Thai Amavasya, Mahalaya Amavasya, Makar Sankranti",60,240,Sequential numbered wells (22 Kunds) marshalled by temple sevakas; corridor queue railings,Yes,Special Darshan and Theertham fast-track pass (INR 50 to 200 per devotee),Maritime tropical; cyclonic winds and high tides during Nov-Dec northeast monsoon,Ancestral ritual bathing days (Amavasya tithis) drawing pilgrims from across India,HR&CE Dept Tamil Nadu & Ramanathapuram District Police SOP
CR012,TS012,Shree Somnath Jyotirlinga Temple,Moderate to High,"October to March, July to August (Shravan)","Maha Shivratri, Shravan Somvars, Kartik Purnima Fair, Diwali & New Year holidays",40,180,"Security scanner gates at Digvijay Dwar, shaded zigzag queues with sea breeze ventilation",Yes,VIP Darshan pass available at trust counters / online (INR 200),Coastal Arabian Sea breeze; heavy monsoon downpours in July-August,"Kartik Purnima Somnath Fair, Shravan month pilgrimage convoys",Shree Somnath Trust Public Relations Bulletin & Gujarat Police
CR013,TS013,Shri Saibaba Sansthan Temple,High to Severe,"Year-round; peaks in April-June, October-January","Guru Purnima, Vijayadashami (Sai Punyatithi), Ram Navami, Diwali, New Year",90,360,"Shirdi Time-PaaS (Time-slot based queue management), air-conditioned mega queue complexes",Yes,"Paid VIP Darshan booking available online (INR 200 general fast track, INR 400 for Aarti)",Moderate dry climate; warm summers and pleasant winters,"Sai Punyatithi 3-day festival, long weekend holidays from Mumbai/Pune metropolitan corridors",Shri Saibaba Sansthan Trust Shirdi Official Queue Management Portal
CR014,TS014,Sabarimala Sree Dharma Sastha Temple,Critical Peak during Season,Mid-November to Mid-January (Mandala-Makaravilakku pilgrimage season),"Mandala Pooja day, Makaravilakku day (Makara Jyothi), Monthly 5-day temple opening dates",180,720,"Kerala Police Virtual Q online token verification, Pamba-Sannidhanam staggered trekking batches",No,Strict adherence to Virtual Q slot allotment; special queue for elderly and children only,"Dense forest mountain terrain, sudden torrential monsoon/post-monsoon showers, damp slippery trek paths",Makaravilakku sighting week at Sannidhanam & surrounding viewpoints,Travancore Devaswom Board & Kerala High Court Monitored Sabarimala Special Commissionerate
CR015,TS015,Har Ki Pauri Ghat & Mansa Devi,Severe Surge,"April to July, October to November","Kumbh/Ardh Kumbh, Somvati Amavasya, Kanwar Mela (July-Aug), Baisakhi, Ganga Dussehra, Kartik Purnima",30,240,"One-way pedestrian bridge flow on Ganga canals, river barrier nets, public address towers",Yes,Udan Khatola / Mansa Devi Ropeway fast track ticket (INR 250 - 350 combined),High river currents during monsoons; cold river water dipping in Dec-Jan,Kanwar Yatra season (estimated 30-40 million pilgrims over 14 days in Haridwar district),Haridwar District Police Kanwar Mela Traffic Blueprint & UTDB
CR016,TS016,Triveni Sangam & Kumbh Mela Grounds,Mass Congregational Surge,"January to February (Magh Mela / Maha Kumbh), October to November","Makar Sankranti, Paush Purnima, Mauni Amavasya (Peak Shahi Snan), Basant Panchami, Maghi Purnima",45,300,"Pontoon bridges across Ganga, sector-wise emergency holding grids, boatman license quotas",No,Open sacred ghat access; official UPSTDC motorized catamaran boat passes available (INR 200 - 500),Severe morning fog and sub-10C cold in Jan-Feb; intense river currents during monsoon,Mauni Amavasya royal bath day (millions of bathers congregating in a single 24-hr window),Prayagraj Mela Authority & Uttar Pradesh Police Crowd Logistics Wing
CR017,TS017,Bankey Bihari Temple & Prem Mandir,Severe Surge,"August to September (Janmashtami/Radhashtami), March (Holi), October to November","Janmashtami, Lathmar Holi & Rangbhari Ekadashi, Hariyali Teej, Radhashtami, New Year",60,300,"Narrow alley barricades, holding corridors near Vidyapeeth, one-way exit towards Yamuna ghats",No,General queue entry for Bankey Bihari; Prem Mandir open entry with temple complex grounds,Very high ambient temperature and humidity during August Janmashtami; dry heat in summer,Holi festival celebrations in Braj region; Mangala Aarti on Janmashtami midnight,Mathura District Administration Crowd Review & UP Police SOPs
CR018,TS018,Taj Mahal Monument Complex,High,October to March,"Christmas to New Year week, Republic Day weekend, Taj Mahotsav (Feb), Eid-ul-Fitr",30,150,"Automated QR-code turnstile gates at West & East Gates, mandatory 3-hour visit time-limit step counting",Yes,High-value ticket lane for Foreigners / Main Mausoleum step-up ticket (INR 200 extra),Dense morning smog/fog in Dec-Jan obscuring visibility until 11:00 AM; extreme heat (45C) in May-June,"Free entry days on World Heritage Day / ASI heritage weeks, consecutive national holidays",Archaeological Survey of India (ASI) Visitor Count Statistics & Ministry of Tourism
CR019,TS019,Amber Fort & Palace Complex,Moderate to High,October to March,"Navratri (Shila Devi temple surge), Pushkar fair extension, New Year holiday week",30,120,"Elephant ride quota rationing, e-ticket scanners at Suraj Pol and Jaleb Chowk",Yes,Rajasthan composite heritage pass / night tourism fast entry,Intense desert summer heat (42-45C); crisp pleasant winter days,"Tourist high season charter arrivals, winter music and literary festivals in Jaipur",Rajasthan Tourism Development Corporation (RTDC) & Dept of Archaeology
CR020,TS020,Qutub Minar & Mehrauli Archaeological Complex,Moderate to High,October to March,"New Year's Day, Republic Day weekend, Delhi Qutub Festival (winter), Independence Day",20,90,"ASI cashless barcode scanning kiosks, multi-lane entrance turnstiles, designated foreign tourist lane",Yes,Foreign tourist premium entry fast lane (INR 550 ticket holders),Severe air pollution (AQI peaks) in Nov-Dec; scorching summer heat in May-June,"School picnic season (Dec-Feb), weekend family recreation peaks",ASI Delhi Circle Administrative Records & Delhi Tourism (DTTDC)
CR021,TS021,Ajanta and Ellora Rock-Cut Caves,Moderate,"October to March, July to September (Lush green monsoon view of waterfalls)","Ellora-Ajanta International Dance Festival, Diwali vacations, Buddhist full moon festivals",25,110,Eco-friendly MTDC electric shuttle bus queues from T-junction parking to Ajanta cave foot,No,"Uniform ASI ticketing; cave entry illumination batch control for Cave 1, 2, 16 (Kailasa)",Heavy monsoon scenic beauty; high ambient humidity in caves; warm dry summer,Monsoon weekend tourist surge from Mumbai/Pune seeking waterfalls around Kailasa temple,Maharashtra Tourism Development Corporation (MTDC) & ASI Aurangabad
CR022,TS022,Group of Monuments at Hampi,Moderate to High,October to February,"Hampi Utsav (Nov/Jan), Vijaya Utsav, Maha Shivratri (Virupaksha car festival), New Year",20,90,"E-cart shuttles from Gejjala Mantapa to Vittala Temple, ASI barcode ticketing counters",No,Single unified ticket valid for Vittala complex and Zenana Enclosure on same day,Intense rocky boulder heat in March-May (exceeds 40C); clear pleasant dry winters,"Hampi Utsav mega cultural festival dates, backpacker winter solstice holidays",Karnataka State Tourism Development Corporation (KSTDC) & ASI Hampi
CR023,TS023,Pangong Tso Lake & Hemis Monastery,Moderate with Severe Chokepoints at High Passes,May to September,"Hemis Tsechu Festival (June/July), Ladakh Festival (Sept), Summer road opening window",15,90,"Chang La pass military checkpoint convoy regulation, LAHDC permit verification barrier",No,Eco-development environmental fee paid through LAHDC online portal,Extreme sub-zero winter freeze (-20C to -30C); sub-zero night temps even in summer; AMS risk,"Hemis Festival 2-day masked Cham dance celebrations, mid-summer July tourist influx",District Administration Leh & LAHDC Tourism Statistical Registry
CR024,TS024,Rohtang Pass & Solang Valley Adventure Zone,Severe Vehicle Chokepoints,"May to July, October to November (Snow seekers)","Summer school break rush, Dussehra Kullu Festival, first fresh snowfall days",60,240,Gulaba checkpost barcode permit verification; strictly capped at 800 petrol + 400 diesel vehicles/day,No,Permits released online daily at 10:00 AM & 04:00 PM via official HP portal,"Sudden blizzards, black ice on hairpin bends, severe altitude drop in oxygen, landslides",Fresh snow report broadcasts causing massive traffic jams between Manali and Gulaba,Kullu District Police Traffic Unit & NGT Rohtang Monitoring Committee
CR025,TS025,Maa Kamakhya Devalaya,Severe Surge,"June (Ambubachi Mela), September to October (Navratri/Durga Puja)","Ambubachi Mela (Annual 4-day temple door closure and opening), Durga Puja, Manasa Puja",90,480,"Nilachal hill access control, holding camps at Sonaram field, barricaded hill queue line",Yes,VIP / Defence / Special Darshan passes (INR 501 per head counter ticket),Very heavy northeast monsoon rains and high humidity in June-August; risk of urban waterlogging,Ambubachi Mela door reopening day (drawing over 500k Sadhus and tantric devotees worldwide),Kamrup Metro District Administration & Kamakhya Temple Management
