vendor_id,spot_id,spot_name,business_name,business_category,latitude,longitude,address_locality,contact_phone_or_helpline,verification_status,available_offers_discounts,specialties_or_services,data_source
VN013,TS006,Tirumala Venkateswara Temple,TTD Srinivasam Pilgrim Accommodation Complex,Devasthanam Guest House Complex,13.6291,79.4215,"Opposite APSRTC Central Bus Station, Tirupati",+91-877-2277777,Directly Administered by Tirumala Tirupati Devasthanams (TTD),Pilgrim welfare subsidized tariffs (INR 200 - 600 per day),"Integrated SSD Token issuance counters, 24-hour Annaprasadam canteen, tonsure facilities",TTD Official Accommodation Register
VN014,TS006,Tirumala Venkateswara Temple,Lepakshi Andhra Pradesh Handicrafts Emporium,Government Handicrafts & Brassware,13.6315,79.4241,"Gandhi Road, Tirupati",+91-877-2220456,Andhra Pradesh Handicrafts Development Corporation (APHDCL),5% rebate on all Kalamkari textile paintings and bronze idols,"Traditional Kondapalli toys, GI-tagged Srikalahasti Kalamkari fabrics, brass Venkateswara lamps",APHDCL Official Portal & Ministry of Textiles
VN015,TS007,Shree Jagannath Temple,Nilachal Bhakta Niwas,SJTA Managed Pilgrim Guest House,19.8035,85.8202,"Grand Road (Bada Danda), Puri",+91-6752-225880,Managed by Shree Jagannath Temple Administration (SJTA),Subsidized rooms with priority Mahaprasad coupon guidance,"Clean AC/Non-AC rooms, close walking distance to Singhadwara, secure parking",SJTA Administration Accommodation List
VN016,TS007,Shree Jagannath Temple,Raghurajpur Heritage Pattachitra Artisan Society,Traditional Folk Art & Pattachitra Crafts,19.8785,85.8322,"Heritage Crafts Village, Raghurajpur, Puri",+91-94372-55667,Odisha State Handlooms & Crafts Dept & National Master Artisans,Direct artist workshop live demonstration and certified authentic scroll seal,"Intricate palm-leaf engravings (Talapatra Chitra), Tusser silk Pattachitra, wooden Jagannath idols",Odisha Tourism Heritage Village Registry & DC Handicrafts
VN017,TS008,Mahakaleshwar Jyotirlinga Temple,Mahakal Lok Yatri Niwas & Dharamshala,Temple Trust Pilgrim Facility,23.1815,75.7665,"Near Rudrasagar Lake, Ujjain",+91-734-2550563,Verified by Shri Mahakaleshwar Temple Management Committee,Online computerized booking integrated with Bhasma Aarti confirmation,"Direct pedestrian entry to Mahakal Lok corridor, battery cart service for elders",SMTMC Official Portal
VN018,TS008,Mahakaleshwar Jyotirlinga Temple,Bhairavgarh Batik Printing Craft Guild,Traditional Hand-Block & Batik Textiles,23.2125,75.7821,"Bhairavgarh, Ujjain",+91-734-2580112,MP Sant Ravidas Handloom & Handicrafts Development Corporation,Factory outlet rates for pure cotton vegetable dye bedspreads and sarees,"Authentic wax batik printing, handcrafted bedsheets, traditional chanderi-cotton drapes",MP Hastshilp Vikas Nigam
VN019,TS009,Golden Temple (Sri Harmandir Sahib),Sri Guru Ramdas Niwas,SGPC Community Sarai / Accommodations,31.6212,74.8781,"Golden Temple Complex, Amritsar",+91-183-2553957,Shiromani Gurdwara Parbandhak Committee (SGPC) Managed,Free / token maintenance donation only for pilgrims worldwide,"Over 500 rooms and massive hall accommodation, 24-hour Guru Ka Langar access",SGPC Accommodation Information Board
VN020,TS009,Golden Temple (Sri Harmandir Sahib),Bhai Kulwant Singh Kulchian Wale,Traditional Punjabi Eatery,31.6225,74.8752,"Heritage Street, Near Golden Temple, Amritsar",+91-98141-22334,FSSAI Registered (Lic No: 12117001000245),Free unlimited refills of spicy chole and tamarind-onion chutney,Crispy layered tandoori Amritsari aloo-pyaaz and paneer kulchas with dollops of pure butter,FSSAI FoSCoS Registry & Punjab Tourism
VN021,TS010,Meenakshi Sundareswarar Temple,TTDC Hotel Tamil Nadu Madurai,State Government Tourism Hotel,9.9215,78.1172,"West Veli Street, Madurai",+91-452-2337471,Tamil Nadu Tourism Development Corporation (TTDC),Senior citizen 10% discount on weekday tariffs,"Authentic South Indian restaurant, travel desk with government bus tour booking",TTDC Official Portal
VN022,TS010,Meenakshi Sundareswarar Temple,Madurai Sungudi Saree Weavers Guild,GI-Tagged Handloom Cotton Sarees,9.9168,78.1215,"South Masi Street, Madurai",+91-452-2341122,GI Registered User (GI Application No: 180),Direct weaver pricing with 5% discount on minimum 2 cotton sarees,Traditional tie-and-dye circular dot Sungudi sarees on pure combed cotton,Geographical Indications Registry India & Co-optex
VN023,TS018,Taj Mahal Monument Complex,UP Tourism Taj Khema Heritage Resort,Government Heritage Resort / Cottages,27.1718,78.0461,"Eastern Gate Road, Tajganj, Agra",+91-562-2330140,Uttar Pradesh State Tourism Development Corporation (UPSTDC),Package discount for online bookings via UP Tourism portal,Lush garden cottages located 200m from Taj East Gate with clear Taj Mahal dome view from hillock,UPSTDC Official Website
VN024,TS018,Taj Mahal Monument Complex,Agra Marble Inlay Artisan Cooperative (Pietra Dura),Traditional Stone Crafts & Souvenirs,27.1685,78.0435,"Fatehabad Road, Agra",+91-562-2228990,Ministry of Textiles Registered & Export Promotion Council for Handicrafts (EPCH),Live craftsmanship demonstration with worldwide courier shipping guarantee,"Parchin Kari (semi-precious gemstone inlay in white Makrana marble) plates, tabletops, lamps",EPCH Directory & UP Directorate of Industries
VN025,TS019,Amber Fort & Palace Complex,Amer Heritage Haveli Homestay,Department of Tourism Approved Heritage Homestay,26.9885,75.8542,"Old Amer Town, Jaipur",+91-141-2530189,"Verified by Department of Tourism, Government of Rajasthan",Complimentary traditional Rajasthani breakfast with 2-night bookings,"Restored 150-year-old Rajput courtyard haveli, guided walking tours of ancient stepwells",Rajasthan Tourism Homestay Registry
VN026,TS019,Amber Fort & Palace Complex,Anokhi Hand Block Printing Museum & Artisan Shop,GI-Tagged Hand Block Printed Textiles & Cultural Center,26.9892,75.8575,"Chanwar Palkiwalon ki Haveli, Kheri Gate, Amer",+91-141-2530226,Recognized by Craft Council of India & UNESCO Heritage Awardee,Interactive block printing workshops with keep-your-own-print handkerchief,"Natural vegetable dyed Sanganeri and Bagru block prints, sustainable apparel and home decor",Crafts Council of India & Rajasthan Tourism
VN027,TS022,Group of Monuments at Hampi,KSTDC Hotel Mayura Bhuvaneshwari Kamalapur,State Tourism Heritage Hotel,15.3125,76.4789,"Kamalapur, Hampi Archaeological Zone",+91-8394-241574,Karnataka State Tourism Development Corporation (KSTDC),Off-peak summer 20% tariff discount; guided monument bus tour packages,"Immediate proximity to ASI Archaeological Museum and Queen's Bath, authentic North Karnataka Jolada Rotti meals",KSTDC Official Directory
VN028,TS022,Group of Monuments at Hampi,Hampi Heritage Trained Guides Guild,ASI & KSTDC Certified Archaeological Tour Guides,15.3342,76.4595,"Virupaksha Temple Car Street, Hampi",+91-94480-77112,Archaeological Survey of India (ASI) Licensed Guide Pool,Fixed tariff card issued by Hampi World Heritage Area Management Authority (HWHAMA),"Expert epigraphical and architectural narration of Vijayanagara empire history, coracle ride escort",HWHAMA & ASI Hampi Sub-Circle
VN029,TS023,Pangong Tso Lake & Hemis Monastery,Maan Village Community Eco-Homestay Collective,Community-Based Eco-Tourism Homestay,33.7212,78.7125,"Maan Village, Pangong Lake Coastline",+91-1982-252081,Verified by LAHDC Tourism Department & Mountain Homestays Initiative,Stargazing night telescope session included with traditional Ladakhi dinner,"Solar-powered eco-cottages, traditional dry compost toilets, Ladakhi butter tea and Skyu/Thukpa meals",LAHDC Sustainable Tourism Registry
VN030,TS023,Pangong Tso Lake & Hemis Monastery,Ladakh Pashmina Artisans Cooperative,Pure Changthangi Cashmere & Woolens,34.1642,77.5849,"Main Bazaar, Leh",+91-1982-252445,BIS & Ladakh Pashmina Certification Mark (LAHDC),Authenticity certification tag with micron fineness test report on each shawl,"100% authentic hand-woven Changthang plateau nomadic Pashmina shawls, yak wool blankets",All Ladakh Pashmina Growers Cooperative Society
VN031,TS024,Rohtang Pass & Solang Valley Adventure Zone,HPTDC Hotel Rohtang Manalsu,State Tourism Lodge,32.2472,77.1812,"Hadimba Road, Manali",+91-1902-252332,Himachal Pradesh Tourism Development Corporation (HPTDC),15% off-season discount on lodging during monsoon months,Assistance with official Rohtang NGT permit booking and local sightseeing coaches,HPTDC Official Portal
VN032,TS024,Rohtang Pass & Solang Valley Adventure Zone,Solang Valley Certified Paragliding & Adventure Operators Union,Registered Aero-Sports & Skiing Operators,32.3168,77.1575,"Solang Adventure Ground, Manali",+91-1902-256111,Department of Tourism & Civil Aviation Himachal Pradesh Registered,Standardized government approved safety tariff rates with third-party insurance,"Tandem paragliding with certified pilots, professional ski instruction, zorbing",HP Directorate of Tourism & Civil Aviation Adventure Sports Register
VN033,TS025,Maa Kamakhya Devalaya,Prashanti Tourist Lodge Kamakhya,State Tourism Pilgrim Lodge,26.1652,91.7042,"Nilachal Hill, Kamakhya, Guwahati",+91-361-2735118,Assam Tourism Development Corporation (ATDC),Concessional rates for senior citizens and defence personnel,"Hilltop panoramic view of Brahmaputra, short 3-minute walking distance to Main Devalaya",ATDC Official Portal
VN034,TS025,Maa Kamakhya Devalaya,Sualkuchi Silk Weaver Cooperative (Pragjyotika),GI-Tagged Assam Muga & Eri Silk,26.1845,91.7438,"Panbazar, Guwahati",+91-361-2544255,Assam Apex Weavers & Artisans Cooperative Federation (ARTFED),Government certified Silk Mark on all traditional Mekhela Chador,"Golden Muga silk Mekhela Chador, organic Ahimsa Eri (Peace) silk shawls, traditional bamboo craft",ARTFED & Handloom Dept Assam
