safety_record_id,spot_id,spot_name,nearest_hospital_name,hospital_distance_km,hospital_emergency_phone,nearest_police_station,police_contact_number,disaster_mgmt_control_room,emergency_exits_and_evacuation_routes,high_risk_zone_type,risk_mitigation_measures,data_source
SZ011,TS011,Ramanathaswamy Temple,Government Taluk Hospital Rameswaram & District HQ Hospital Ramanathapuram,1.1,+91-4573-221233 / 108,Rameswaram Town Police Station & Coastal Security Group (CSG) Post,+91-4573-221223 / 112,Ramanathapuram District EOC: +91-4567-230056 / 1077,East & West Rajagopuram corridors; Agni Theertham coastal open beach holding ground; broad Car Street loop,Coastal Storm Surge / Cyclone Risk & Slippery Wet Pavement Hazards in 22 Theertham wells,Rubber anti-skid safety matting along all 22 Theertham bathing paths; Coastal Security Police lifeguard surveillance along Agni Theertham shore; cyclone early warning sirens,District Administration Ramanathapuram & TNDMA
SZ012,TS012,Shree Somnath Jyotirlinga Temple,Government Community Health Centre Veraval & Somnath Trust Charitable Hospital,4.5,+91-2876-242108 / 108,Prabhas Patan Police Station & Marine Police Station Veraval,+91-2876-231233 / 112,Gir Somnath District EOC: +91-2876-285063 / 1077,Digvijay Dwar main gate; Samudra Darshan promenade open shoreline holding area; 4-lane bypass connecting to Veraval Highway,Arabian Sea High-Tide Coastal Flooding & Mass Congregation Stampede,Massive reinforced sea-wall breakwater protecting temple base; continuous CCTV vigilance from coastal watchtowers; round-the-clock emergency medical paramedic booth inside courtyard,Gujarat State Disaster Management Authority (GSDMA) & SST Safety Protocol
SZ013,TS013,Shri Saibaba Sansthan Temple,Shri Saibaba Super Speciality Hospital & Sainath Hospital Shirdi,0.5,+91-2423-258500 / 108,Shirdi Police Station & Sansthan Security Control Room,+91-2423-255133 / 112,Ahmednagar District EOC: +91-241-2323844 / 1077,"Gate 1, 2, 3, 4 wide clearance corridors; elevated skywalk emergency descent ramps; 100-acre open Sai Ashram evacuation assembly grounds",Sudden Weekend Footfall Surge & Enclosed Space Panic,Centralized computerized public address system with multi-lingual emergency instructions; 24-hour on-duty cardiology trauma team; automated queue compartmentalization gates,Shri Saibaba Sansthan Trust Shirdi Safety & Disaster Management Cell
SZ014,TS014,Sabarimala Sree Dharma Sastha Temple,Sannidhanam Emergency Medical Centre & Pamba Government Hospital,0.2,+91-4735-202108 / 108,Sannidhanam Police Station & Pamba Special Police Control Room,+91-4735-202022 / 112,"Sabarimala Special Disaster Control Cell Pamba: +91-4735-203434, State EOC: 1070",Chandranandan Road dedicated emergency downward evacuation track; Sannidhanam Helipad; Pamba emergency transit river causeway,Steep Mountain Trail Stampede (Pathinettampadi 18 Steps Chokepoint) & Cardiac Arrest during Uphill Trek,Emergency Medical Centres (EMCs) equipped with defibrillators/oxygen every 500 meters along trek; dynamic crowd metering by Kerala Police Rapid Action Force at Marakkoottam bottleneck,Kerala State Disaster Management Authority (KSDMA) & Travancore Devaswom Board
SZ015,TS015,Har Ki Pauri Ghat & Mansa Devi,District Mela Hospital Haridwar & AIIMS Rishikesh Trauma Center,1.2,+91-1334-226060 / 108,Har Ki Pauri Police Post & City Kotwali Haridwar,+91-1334-227000 / 112,"Haridwar District EOC: +91-1334-223999, State EOC: 1070","Multi-span pedestrian bridges over Ganga canal into Bairagi Camp open grounds (500,000 capacity); Pant Dweep holding parking clearway",Mass Drowning Risk in High-Velocity Ganga Rapids & Stampede Chokepoints on Narrow Canal Bridges,Continuous submerged safety chains and iron boundary mesh in river; SDRF deep-water divers stationed 24x7; directional one-way traffic routing across canal islands,Haridwar District Administration & USDMA Mela Safety SOP
SZ016,TS016,Triveni Sangam & Kumbh Mela Grounds,Swaroop Rani Nehru (SRN) Hospital & Mela Central Field Hospital,3.5,+91-532-2256507 / 108,Kumbh Mela Kotwali & Daraganj Police Station,+91-532-2500112 / 112,Integrated Mela Command and Control Centre (ICCC): +91-532-2256000 / 1920,22 designated Pontoon Bridges across Ganga & Yamuna; 40-meter wide arterial sector ring roads; Parade Ground mass assembly area,Mass Stampede at Railway Footbridges / River Confluence & River Current Drownings,Waterproof radio RFID tags for missing person tracking; underwater safety barricades; deployment of 100+ NDRF water rescue boats and aerial drone crowd density thermal mapping,Prayagraj Mela Pradhikaran & NDMA Kumbh Mela Framework
SZ017,TS017,Bankey Bihari Temple & Prem Mandir,Ramakrishna Mission Sevashrama Charitable Hospital & District Hospital Mathura,1.5,+91-565-2442088 / 108,Vrindavan Police Thana & Bankey Bihari Temple Security Chowki,+91-565-2442244 / 112,Mathura District EOC: +91-565-2403258 / 1077,Temple Exit Gate 2 & 3 widening into VIP corridor; holding area at Jagannath Ghat open grounds,Critical Stampede Bottlenecks in Ancient Narrow Galis & Asphyxiation / Heat Exhaustion,Proposed dedicated corridor masterplan; strict time-slotted batch entry gates at entrance lanes; high-capacity misting fans and dedicated ambulance parking at town peripheries,High Powered Committee Report on Bankey Bihari Safety & Mathura Police
SZ018,TS018,Taj Mahal Monument Complex,SN Medical College & Hospital Agra & District Hospital Agra,3.2,+91-562-2260353 / 108,Tajganj Police Station & Tourism Police Station Agra,+91-562-2421204 / 112,Agra Smart City Command Center & District EOC: +91-562-2260550,"Three massive gates (East, West, South Gates); 40-acre expansive Mughal Charbagh garden open holding grounds",High Heat Stress (Summer temperature >45C) & Gate Bottleneck Crowding,Free RO chilled drinking water distribution points every 50 meters; automated visit duration counters (3-hour limit enforcement); CISF paramilitary security quick reaction teams,Archaeological Survey of India (ASI) & Central Industrial Security Force (CISF)
SZ019,TS019,Amber Fort & Palace Complex,SMS Hospital (Sawai Man Singh) Jaipur & Amer Satellite Hospital,1.2,+91-141-2560291 / 108,Amer Police Thana & Tourist Police Unit Jaipur,+91-141-2530125 / 112,"Jaipur Police Control Room: +91-141-2200011, District EOC: 1077","Jaleb Chowk vast open courtyard (5,000 capacity); Chand Pol broad vehicular exit; historic tunnel route to Jaigarh fort for emergency high-ground safety",Steep Stone Incline Slips & High Summer Dehydration on Open Stone Ramparts,Shaded resting pergolas with mist water cooling on Suraj Pol ramp; continuous medical first-responder bikes stationed at Jaleb Chowk,Department of Archaeology and Museums Rajasthan & Rajasthan Police
SZ020,TS020,Qutub Minar & Mehrauli Archaeological Complex,AIIMS New Delhi & Safdarjung Hospital Trauma Center,6.8,+91-11-26588500 / 102,Mehrauli Police Station & Delhi Tourism Police Post,+91-11-26643400 / 112,Delhi Disaster Management Authority (DDMA) Central EOC: 1077 / +91-11-22512300,Main East Entrance multi-gate clearing into wide parking avenue; Mehrauli Archaeological Park perimeter trails,Severe Winter Air Pollution & Weekend School Crowd Surges,Automated computerized ticket turnstiles regulating inflow; AED defibrillators at ASI ticket complex; round-the-clock Delhi Police patrol,ASI Delhi Circle & Delhi Disaster Management Authority (DDMA)
SZ021,TS021,Ajanta and Ellora Rock-Cut Caves,Government Medical College and Hospital (GMCH) Chhatrapati Sambhaji Nagar & Khuldabad Rural Hospital,14.0,+91-240-2402412 / 108,Ellora Police Post & Khuldabad Police Station,+91-2437-241233 / 112,Chhatrapati Sambhaji Nagar District EOC: +91-240-2331200 / 1077,Cave 16 (Kailasa) expansive forecourt; broad stepped pathways connecting to MTDC visitor plaza and helipad,Rockfall / Cliffside Edge Slip Hazards & Indoor Cave Humidity Asphyxiation,Rock bolting and protective catch netting on sheer cliff faces; strict visitor batch capping inside narrow painting caves (Cave 1 & 2); cold fiber-optic lighting,ASI Aurangabad Circle & Maharashtra State Disaster Management Authority
SZ022,TS022,Group of Monuments at Hampi,Vijayanagar Institute of Medical Sciences (VIMS) Ballari & 100-Bedded Taluk Hospital Hosapete,12.5,+91-8394-220024 / 108,Hampi Tourist Police Station & Kamalapur Police Station,+91-8394-241222 / 112,Vijayanagara District EOC: +91-8394-225600 / 1077,"Wide bazaar street expanses (Virupaksha Car Street, Vittala Bazaar); open Tungabhadra river plains",Extreme Summer Heatstroke (>42C) & Flash Flooding along Tungabhadra River during Dam Water Discharge,Automated siren warning system along riverbanks activated before Tungabhadra dam gate openings; tourist police emergency motorbikes; free hydration kiosks,Hampi World Heritage Area Management Authority (HWHAMA) & KSDMA
SZ023,TS023,Pangong Tso Lake & Hemis Monastery,SNM Hospital Leh (Apex High-Altitude Care) & Tangtse Primary Health Centre (PHC),35.0,+91-1982-252014 / 108,Tangtse Police Post & Leh Police Station,+91-1982-252018 / 112,Leh District EOC & Disaster Control: +91-1982-255530 / 1077,Spangmik coastal road connection back to Tangtse Valley; Indian Army field helipads at Tangtse & Lukung for emergency air evacuation,"Acute Mountain Sickness (AMS), High Altitude Pulmonary Edema (HAPE) at 4,350m & Sub-Zero Night Cold","Mandatory 48-hour acclimatization rule enforced at Leh; oxygen cylinder kiosks at Chang La pass (5,360m) and Spangmik; military medical aid posts (MI Room)",District Administration Leh Health Dept & Directorate of Health Services Ladakh
SZ024,TS024,Rohtang Pass & Solang Valley Adventure Zone,Civil Hospital Manali (100-Bedded) & Regional Hospital Kullu,14.0,+91-1902-252341 / 108,Manali Police Station & Gulaba Traffic Checkpost Post,+91-1902-252322 / 112,"District EOC Kullu: +91-1902-224370 / 1077, State EOC HP: 1070",Atal Tunnel South Portal emergency transit bypass (NH-003); Solang ground helipad for air ambulance transport,"Blizzards / Sudden Snow Storms, Black Ice Hairpin Skids & Hypoxia at 3,978m",Strict enforcement of 16:00 vehicle clearing deadline at Rohtang top; 4x4 rescue snow chains; Western Himalayan weather radar storm alerts,Himachal Pradesh SDMA & Kullu District Disaster Management Plan
SZ025,TS025,Maa Kamakhya Devalaya,Gauhati Medical College and Hospital (GMCH) & Pandu FRU Hospital,4.5,+91-361-2529457 / 108,Kamakhya Police Outpost & Jalukbari Police Station,+91-361-2570522 / 112,"Kamrup Metro District EOC: +91-361-2733052 / 1077, Assam State EOC: 1070",Borpul main road bypass; ancient stone staircase (Mekhela Ujowa Path) alternate foot evacuation trail into foothills,Steep Hillside Crowd Surge Bottlenecks & Monsoon Landslide Soil Creep,Holding transit shelters at base camp (Old Jail / Sonaram field) with electronic token calling; retaining walls and geological slope drainage; round-the-clock SDRF deployment,Assam State Disaster Management Authority (ASDMA) Ambubachi Mela Plan
